pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 511	Average Score: -251.73
Episode 512	Average Score: -251.71
Episode 513	Average Score: -251.71
Episode 514	Average Score: -251.71
Episode 515	Average Score: -251.70
Episode 516	Average Score: -251.70
Episode 517	Average Score: -251.70
Episode 518	Average Score: -251.70
Episode 519	Average Score: -251.74
Episode 520	Average Score: -251.86
Episode 521	Average Score: -251.86
Episode 522	Average Score: -251.86
Episode 523	Average Score: -251.87
Episode 524	Average Score: -243.99
Episode 525	Average Score: -235.95
Episode 526	Average Score: -227.89
Episode 527	Average Score: -227.76
Episode 528	Average Score: -227.76
Episode 529	Average Score: -227.76
Episode 530	Average Score: -227.78
Episode 531	Average Score: -219.72
Episode 532	Average Score: -211.69
Episode 533	Average Score: -211.79
Episode 534	Average Score: -211.79
Episode 535	Average Score: -211.74
Episode 536	Average Score: -211.94
Episode 537	Average Score: -220.03
Episode 538	Average Score: -220.03
Episode 539	Average Score: -211.94
Episode 540	Average Score: -203.91
Episode 541	Average Score: -204.11
Episode 542	Average Score: -203.99
Episode 543	Average Score: -203.99
Episode 544	Average Score: -203.91
Episode 545	Average Score: -203.91
Episode 546	Average Score: -204.15
Episode 547	Average Score: -204.34
Episode 548	Average Score: -204.58
Episode 549	Average Score: -204.58
Episode 550	Average Score: -196.54
Episode 551	Average Score: -204.60
Episode 552	Average Score: -196.68
Episode 553	Average Score: -196.68
Episode 554	Average Score: -196.68
Episode 555	Average Score: -196.68
Episode 556	Average Score: -196.52
Episode 557	Average Score: -196.58
Episode 558	Average Score: -188.55
Episode 559	Average Score: -188.40
Episode 560	Average Score: -188.40
Episode 561	Average Score: -180.64
Episode 562	Average Score: -180.59
Episode 563	Average Score: -172.56
Episode 564	Average Score: -172.37
Episode 565	Average Score: -164.34
Episode 566	Average Score: -156.31
Episode 567	Average Score: -156.31
Episode 568	Average Score: -156.54
Episode 569	Average Score: -156.52
Episode 570	Average Score: -148.49
Episode 571	Average Score: -140.46
Episode 572	Average Score: -132.61
Episode 573	Average Score: -124.54
Episode 574	Average Score: -124.51
Episode 575	Average Score: -124.51
Episode 576	Average Score: -116.45
Episode 577	Average Score: -124.39
Episode 578	Average Score: -124.39
Episode 579	Average Score: -116.33
Episode 580	Average Score: -108.30
Episode 581	Average Score: -100.52
Episode 582	Average Score: -100.52
Episode 583	Average Score: -92.49
Episode 584	Average Score: -92.49
Episode 585	Average Score: -92.49
Episode 586	Average Score: -92.73
Episode 587	Average Score: -92.46
Episode 588	Average Score: -92.46
Episode 589	Average Score: -84.56
Episode 590	Average Score: -92.71
Episode 591	Average Score: -84.68
Episode 592	Average Score: -76.65
Episode 593	Average Score: -68.56
Episode 594	Average Score: -68.56
Episode 595	Average Score: -68.82
Episode 596	Average Score: -68.82
Episode 597	Average Score: -68.82
Episode 598	Average Score: -68.82
Episode 599	Average Score: -76.88
Episode 600	Average Score: -76.88
Episode 600	Average Score: -76.88

Episode 601	Average Score: -76.88
Episode 602	Average Score: -68.82
Episode 603	Average Score: -60.78
Episode 604	Average Score: -60.78
Episode 605	Average Score: -60.78
Episode 606	Average Score: -52.93
Episode 607	Average Score: -44.90
Episode 608	Average Score: -44.86
Episode 609	Average Score: -44.86
Episode 610	Average Score: -44.86
Episode 611	Average Score: -44.86
Episode 612	Average Score: -45.15
Episode 613	Average Score: -37.12
Episode 614	Average Score: -29.09
Episode 615	Average Score: -21.32
Episode 616	Average Score: -13.29
Episode 617	Average Score: -5.26
Episode 618	Average Score: -5.26
Episode 619	Average Score: -5.26
Episode 620	Average Score: 2.80
Episode 621	Average Score: 10.86
Episode 622	Average Score: 18.92
Episode 623	Average Score: 26.71
Episode 624	Average Score: 18.62
Episode 625	Average Score: 18.64
Episode 626	Average Score: 18.64
Episode 627	Average Score: 18.51
Episode 628	Average Score: 18.57
Episode 629	Average Score: 26.63
Episode 630	Average Score: 26.62
Episode 631	Average Score: 26.62
Episode 632	Average Score: 18.56
Episode 633	Average Score: 18.39
Episode 634	Average Score: 18.39
Episode 635	Average Score: 26.43
Episode 636	Average Score: 34.52
Episode 637	Average Score: 34.52
Episode 638	Average Score: 42.62
Episode 639	Average Score: 34.53
Episode 640	Average Score: 26.50
Episode 641	Average Score: 26.50
Episode 642	Average Score: 26.38
Episode 643	Average Score: 26.66
Episode 644	Average Score: 26.58
Episode 645	Average Score: 26.58
Episode 646	Average Score: 26.58
Episode 647	Average Score: 26.53
Episode 648	Average Score: 26.53
Episode 649	Average Score: 26.53
Episode 650	Average Score: 18.49
Episode 651	Average Score: 18.49
Episode 652	Average Score: 10.43
Episode 653	Average Score: 10.43
Episode 654	Average Score: 10.43
Episode 655	Average Score: 18.46
Episode 656	Average Score: 18.30
Episode 657	Average Score: 10.27
Episode 658	Average Score: 2.24
Episode 659	Average Score: 10.13
Episode 660	Average Score: 18.19
Episode 661	Average Score: 10.16
Episode 662	Average Score: 18.17
Episode 663	Average Score: 18.20
Episode 664	Average Score: 26.07
Episode 665	Average Score: 26.10
