pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 470	Average Score: -303.53
Episode 471	Average Score: -303.58
Episode 472	Average Score: -303.53
Episode 473	Average Score: -303.53
Episode 474	Average Score: -303.51
Episode 475	Average Score: -303.51
Episode 476	Average Score: -303.74
Episode 477	Average Score: -303.79
Episode 478	Average Score: -303.80
Episode 479	Average Score: -303.84
Episode 480	Average Score: -303.88
Episode 481	Average Score: -303.97
Episode 482	Average Score: -303.99
Episode 483	Average Score: -304.05
Episode 484	Average Score: -304.09
Episode 485	Average Score: -304.09
Episode 486	Average Score: -304.12
Episode 487	Average Score: -304.13
Episode 488	Average Score: -304.05
Episode 489	Average Score: -304.01
Episode 490	Average Score: -303.89
Episode 491	Average Score: -303.92
Episode 492	Average Score: -303.92
Episode 493	Average Score: -303.93
Episode 494	Average Score: -303.89
Episode 495	Average Score: -303.83
Episode 496	Average Score: -303.75
Episode 497	Average Score: -303.77
Episode 498	Average Score: -303.75
Episode 499	Average Score: -303.74
Episode 500	Average Score: -303.74
Episode 500	Average Score: -303.74

Episode 501	Average Score: -303.63
Episode 502	Average Score: -303.64
Episode 503	Average Score: -303.70
Episode 504	Average Score: -303.73
Episode 505	Average Score: -303.76
Episode 506	Average Score: -303.72
Episode 507	Average Score: -303.72
Episode 508	Average Score: -303.73
Episode 509	Average Score: -303.75
Episode 510	Average Score: -303.74
Episode 511	Average Score: -303.73
Episode 512	Average Score: -303.74
Episode 513	Average Score: -303.70
Episode 514	Average Score: -303.71
Episode 515	Average Score: -303.70
Episode 516	Average Score: -303.57
Episode 517	Average Score: -303.59
Episode 518	Average Score: -303.60
Episode 519	Average Score: -303.64
Episode 520	Average Score: -303.63
Episode 521	Average Score: -303.58
Episode 522	Average Score: -303.63
Episode 523	Average Score: -303.59
Episode 524	Average Score: -303.57
Episode 525	Average Score: -303.55
Episode 526	Average Score: -303.56
Episode 527	Average Score: -303.44
Episode 528	Average Score: -303.49
Episode 529	Average Score: -303.51
Episode 530	Average Score: -303.58
Episode 531	Average Score: -303.57
Episode 532	Average Score: -303.47
Episode 533	Average Score: -303.46
Episode 534	Average Score: -303.49
Episode 535	Average Score: -303.45
Episode 536	Average Score: -303.45
Episode 537	Average Score: -303.45
Episode 538	Average Score: -303.38
Episode 539	Average Score: -303.34
Episode 540	Average Score: -303.43
Episode 541	Average Score: -303.45
Episode 542	Average Score: -303.46
Episode 543	Average Score: -303.52
Episode 544	Average Score: -303.42
Episode 545	Average Score: -303.46
Episode 546	Average Score: -303.21
Episode 547	Average Score: -303.21
Episode 548	Average Score: -303.19
Episode 549	Average Score: -303.19
Episode 550	Average Score: -303.34
Episode 551	Average Score: -303.36
Episode 552	Average Score: -303.32
Episode 553	Average Score: -303.33
Episode 554	Average Score: -303.40
Episode 555	Average Score: -303.46
Episode 556	Average Score: -303.49
Episode 557	Average Score: -303.45
Episode 558	Average Score: -303.47
Episode 559	Average Score: -303.59
Episode 560	Average Score: -303.75
Episode 561	Average Score: -303.75
Episode 562	Average Score: -303.75
Episode 563	Average Score: -303.71
Episode 564	Average Score: -303.71
Episode 565	Average Score: -303.69
Episode 566	Average Score: -303.71
Episode 567	Average Score: -303.79
Episode 568	Average Score: -303.77
Episode 569	Average Score: -303.75
Episode 570	Average Score: -303.68
Episode 571	Average Score: -303.67
Episode 572	Average Score: -304.03
Episode 573	Average Score: -304.07
Episode 574	Average Score: -304.07
Episode 575	Average Score: -304.11
Episode 576	Average Score: -303.91
Episode 577	Average Score: -303.86
Episode 578	Average Score: -303.86
Episode 579	Average Score: -303.85
Episode 580	Average Score: -303.83
Episode 581	Average Score: -303.75
Episode 582	Average Score: -303.75
Episode 583	Average Score: -303.69
Episode 584	Average Score: -303.76
Episode 585	Average Score: -303.75
Episode 586	Average Score: -303.79
Episode 587	Average Score: -303.88
Episode 588	Average Score: -303.97
Episode 589	Average Score: -304.10
Episode 590	Average Score: -304.13
Episode 591	Average Score: -304.11
Episode 592	Average Score: -304.11
Episode 593	Average Score: -304.09
Episode 594	Average Score: -304.11
Episode 595	Average Score: -304.18
Episode 596	Average Score: -304.31
Episode 597	Average Score: -304.34
Episode 598	Average Score: -304.35
Episode 599	Average Score: -304.39
Episode 600	Average Score: -304.43
Episode 600	Average Score: -304.43

Episode 601	Average Score: -304.46
Episode 602	Average Score: -304.62
Episode 603	Average Score: -304.42
Episode 604	Average Score: -304.43
Episode 605	Average Score: -304.48
Episode 606	Average Score: -304.53
Episode 607	Average Score: -304.50
Episode 608	Average Score: -304.62
Episode 609	Average Score: -304.61
Episode 610	Average Score: -304.69
Episode 611	Average Score: -304.61
Episode 612	Average Score: -304.62
Episode 613	Average Score: -304.63
Episode 614	Average Score: -304.62
Episode 615	Average Score: -304.63
Episode 616	Average Score: -304.63
Episode 617	Average Score: -304.61
Episode 618	Average Score: -304.61
Episode 619	Average Score: -304.63
Episode 620	Average Score: -304.62
Episode 621	Average Score: -304.69
Episode 622	Average Score: -304.64
Episode 623	Average Score: -304.64
Episode 624	Average Score: -304.80
Episode 625	Average Score: -304.78
Episode 626	Average Score: -304.78
Episode 627	Average Score: -304.80
Episode 628	Average Score: -304.74
Episode 629	Average Score: -304.71
Episode 630	Average Score: -304.63
Episode 631	Average Score: -304.78
Episode 632	Average Score: -304.76
Episode 633	Average Score: -304.78
Episode 634	Average Score: -304.75
Episode 635	Average Score: -304.76
Episode 636	Average Score: -304.76
Episode 637	Average Score: -304.82
Episode 638	Average Score: -304.90
Episode 639	Average Score: -304.93
Episode 640	Average Score: -304.84
Episode 641	Average Score: -304.85
Episode 642	Average Score: -304.84
Episode 643	Average Score: -304.68
Episode 644	Average Score: -304.71
Episode 645	Average Score: -304.67
Episode 646	Average Score: -304.73
Episode 647	Average Score: -304.74
Episode 648	Average Score: -304.75
Episode 649	Average Score: -304.79
Episode 650	Average Score: -304.64
Episode 651	Average Score: -304.66
Episode 652	Average Score: -304.65
Episode 653	Average Score: -304.65
Episode 654	Average Score: -304.73
Episode 655	Average Score: -304.68
Episode 656	Average Score: -304.78
Episode 657	Average Score: -304.82
Episode 658	Average Score: -304.90
Episode 659	Average Score: -304.80
Episode 660	Average Score: -304.62
Episode 661	Average Score: -304.61
Episode 662	Average Score: -304.68
Episode 663	Average Score: -304.67
Episode 664	Average Score: -304.61
Episode 665	Average Score: -304.63
Episode 666	Average Score: -304.68
Episode 667	Average Score: -304.54
Episode 668	Average Score: -304.54
Episode 669	Average Score: -304.67
Episode 670	Average Score: -304.67
Episode 671	Average Score: -304.62
Episode 672	Average Score: -304.26
Episode 673	Average Score: -304.33
Episode 674	Average Score: -304.33
Episode 675	Average Score: -304.36
Episode 676	Average Score: -304.37
Episode 677	Average Score: -304.35
Episode 678	Average Score: -304.42
Episode 679	Average Score: -304.53
Episode 680	Average Score: -304.49
Episode 681	Average Score: -304.53
Episode 682	Average Score: -304.54
Episode 683	Average Score: -304.53
Episode 684	Average Score: -304.44
Episode 685	Average Score: -304.52
Episode 686	Average Score: -304.45
Episode 687	Average Score: -304.35
Episode 688	Average Score: -304.30
Episode 689	Average Score: -304.18
Episode 690	Average Score: -304.16
Episode 691	Average Score: -304.35
Episode 692	Average Score: -304.37
Episode 693	Average Score: -304.40
Episode 694	Average Score: -304.39
Episode 695	Average Score: -304.33
Episode 696	Average Score: -304.20
Episode 697	Average Score: -304.16
Episode 698	Average Score: -304.17
Episode 699	Average Score: -304.19
Episode 700	Average Score: -304.18
Episode 700	Average Score: -304.18

Episode 701	Average Score: -304.15
Episode 702	Average Score: -304.00
Episode 703	Average Score: -304.01
Episode 704	Average Score: -304.03
Episode 705	Average Score: -303.95
Episode 706	Average Score: -303.88
Episode 707	Average Score: -303.94
Episode 708	Average Score: -303.83
Episode 709	Average Score: -303.79
Episode 710	Average Score: -303.68
Episode 711	Average Score: -303.82
Episode 712	Average Score: -303.79
Episode 713	Average Score: -303.79
Episode 714	Average Score: -303.82
Episode 715	Average Score: -303.80
Episode 716	Average Score: -303.80
Episode 717	Average Score: -303.76
Episode 718	Average Score: -303.81
Episode 719	Average Score: -303.79
Episode 720	Average Score: -303.92
Episode 721	Average Score: -303.97
Episode 722	Average Score: -304.01
Episode 723	Average Score: -303.99
Episode 724	Average Score: -303.85
Episode 725	Average Score: -303.91
Episode 726	Average Score: -303.87
Episode 727	Average Score: -303.85
Episode 728	Average Score: -303.86
Episode 729	Average Score: -303.98
Episode 730	Average Score: -304.03
Episode 731	Average Score: -303.91
Episode 732	Average Score: -304.17
Episode 733	Average Score: -304.15
