pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 317	Average Score: -306.32
Episode 318	Average Score: -306.38
Episode 319	Average Score: -306.41
Episode 320	Average Score: -306.42
Episode 321	Average Score: -306.41
Episode 322	Average Score: -306.27
Episode 323	Average Score: -306.28
Episode 324	Average Score: -306.29
Episode 325	Average Score: -306.55
Episode 326	Average Score: -306.55
Episode 327	Average Score: -306.54
Episode 328	Average Score: -306.68
Episode 329	Average Score: -306.63
Episode 330	Average Score: -306.63
Episode 331	Average Score: -306.64
Episode 332	Average Score: -306.64
Episode 333	Average Score: -306.65
Episode 334	Average Score: -306.63
Episode 335	Average Score: -306.66
Episode 336	Average Score: -306.77
Episode 337	Average Score: -306.75
Episode 338	Average Score: -306.47
Episode 339	Average Score: -306.51
Episode 340	Average Score: -306.50
Episode 341	Average Score: -306.48
Episode 342	Average Score: -306.67
Episode 343	Average Score: -306.40
Episode 344	Average Score: -306.24
Episode 345	Average Score: -306.52
Episode 346	Average Score: -306.23
Episode 347	Average Score: -306.19
Episode 348	Average Score: -306.23
Episode 349	Average Score: -306.30
Episode 350	Average Score: -306.30
Episode 351	Average Score: -306.28
Episode 352	Average Score: -306.18
Episode 353	Average Score: -306.07
Episode 354	Average Score: -305.80
Episode 355	Average Score: -305.85
Episode 356	Average Score: -305.80
Episode 357	Average Score: -305.67
Episode 358	Average Score: -305.64
Episode 359	Average Score: -305.64
Episode 360	Average Score: -305.93
Episode 361	Average Score: -305.81
Episode 362	Average Score: -305.76
Episode 363	Average Score: -305.47
Episode 364	Average Score: -305.60
Episode 365	Average Score: -305.61
Episode 366	Average Score: -305.62
Episode 367	Average Score: -305.83
Episode 368	Average Score: -305.83
Episode 369	Average Score: -305.82
Episode 370	Average Score: -305.87
Episode 371	Average Score: -305.59
Episode 372	Average Score: -305.61
Episode 373	Average Score: -305.44
Episode 374	Average Score: -305.44
Episode 375	Average Score: -305.46
Episode 376	Average Score: -305.46
Episode 377	Average Score: -305.61
Episode 378	Average Score: -305.70
Episode 379	Average Score: -305.71
Episode 380	Average Score: -305.72
Episode 381	Average Score: -305.72
Episode 382	Average Score: -305.72
Episode 383	Average Score: -305.64
Episode 384	Average Score: -305.51
Episode 385	Average Score: -305.30
Episode 386	Average Score: -305.35
Episode 387	Average Score: -305.47
Episode 388	Average Score: -305.55
Episode 389	Average Score: -305.83
Episode 390	Average Score: -305.68
Episode 391	Average Score: -305.69
Episode 392	Average Score: -305.68
Episode 393	Average Score: -305.66
Episode 394	Average Score: -305.67
Episode 395	Average Score: -305.38
Episode 396	Average Score: -305.25
Episode 397	Average Score: -305.22
Episode 398	Average Score: -304.94
Episode 399	Average Score: -304.95
Episode 400	Average Score: -304.97
Episode 400	Average Score: -304.97

Episode 401	Average Score: -304.90
Episode 402	Average Score: -304.90
Episode 403	Average Score: -304.63
Episode 404	Average Score: -304.92
Episode 405	Average Score: -305.00
Episode 406	Average Score: -304.92
Episode 407	Average Score: -304.92
Episode 408	Average Score: -304.93
Episode 409	Average Score: -304.93
Episode 410	Average Score: -304.93
Episode 411	Average Score: -304.75
Episode 412	Average Score: -305.04
Episode 413	Average Score: -305.32
Episode 414	Average Score: -305.33
Episode 415	Average Score: -305.33
Episode 416	Average Score: -305.31
Episode 417	Average Score: -305.37
Episode 418	Average Score: -305.33
Episode 419	Average Score: -305.31
Episode 420	Average Score: -305.41
Episode 421	Average Score: -305.44
Episode 422	Average Score: -305.40
Episode 423	Average Score: -305.48
Episode 424	Average Score: -305.76
Episode 425	Average Score: -305.50
Episode 426	Average Score: -305.56
Episode 427	Average Score: -305.56
Episode 428	Average Score: -305.41
Episode 429	Average Score: -305.46
Episode 430	Average Score: -305.45
Episode 431	Average Score: -305.72
Episode 432	Average Score: -305.80
Episode 433	Average Score: -305.83
Episode 434	Average Score: -305.84
Episode 435	Average Score: -305.84
Episode 436	Average Score: -305.80
Episode 437	Average Score: -305.81
Episode 438	Average Score: -305.85
Episode 439	Average Score: -305.81
Episode 440	Average Score: -305.81
Episode 441	Average Score: -305.81
Episode 442	Average Score: -305.67
Episode 443	Average Score: -305.71
Episode 444	Average Score: -305.92
Episode 445	Average Score: -305.74
Episode 446	Average Score: -305.74
Episode 447	Average Score: -305.67
Episode 448	Average Score: -305.70
Episode 449	Average Score: -305.59
Episode 450	Average Score: -305.58
Episode 451	Average Score: -305.85
Episode 452	Average Score: -305.91
Episode 453	Average Score: -306.20
Episode 454	Average Score: -306.19
Episode 455	Average Score: -306.11
Episode 456	Average Score: -306.11
Episode 457	Average Score: -306.10
Episode 458	Average Score: -306.38
Episode 459	Average Score: -306.65
Episode 460	Average Score: -306.36
Episode 461	Average Score: -306.42
Episode 462	Average Score: -306.44
Episode 463	Average Score: -306.45
Episode 464	Average Score: -306.33
Episode 465	Average Score: -306.32
Episode 466	Average Score: -306.30
Episode 467	Average Score: -306.08
Episode 468	Average Score: -306.15
Episode 469	Average Score: -306.17
Episode 470	Average Score: -306.20
Episode 471	Average Score: -306.19
Episode 472	Average Score: -306.17
Episode 473	Average Score: -306.20
Episode 474	Average Score: -306.20
Episode 475	Average Score: -306.47
Episode 476	Average Score: -306.47
Episode 477	Average Score: -306.28
Episode 478	Average Score: -306.20
Episode 479	Average Score: -306.48
Episode 480	Average Score: -306.43
